Manufacturer_Name,Coil_Name,Primary_Diameter_inch,Primary_Diameter_mm,Secondary_Diameter_mm,Length_cm,Volume_mm^3,(azur)Primary_Diameter_inch,(azur)Primary_Diameter_mm,(azur)Volume_mm^3,Min_Compatible_Catheter_Lumen_inch
Stryker,Target_360_soft,0.0095,0.2413,5,10,4.576 ,,,,0.016
Stryker,Target_360_soft,0.0095,0.2413,5,20,9.152 ,,,,0.016
Stryker,Target_360_soft,0.01,0.254,6,10,5.067 ,,,,0.016
Stryker,Target_360_soft,0.01,0.254,6,20,10.134 ,,,,0.016
Stryker,Target_360_soft,0.01,0.254,7,30,15.201 ,,,,0.016
Stryker,Target_360_soft,0.01,0.254,8,30,15.201 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,2,3,1.520 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,2,4,2.027 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,2.5,4,2.027 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,3,4,2.027 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,3,6,3.040 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,3,8,4.054 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,3,10,5.067 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,3.5,8,4.054 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,4,6,3.040 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,4,8,4.054 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,4,15,7.601 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,4.5,10,5.067 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,5,10,5.067 ,,,,0.016
Stryker,Target_360_ultra,0.01,0.254,5,15,7.601 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,2,3,1.520 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,2,4,2.027 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,2,6,3.040 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,2,8,4.054 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,3,6,3.040 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,3,8,4.054 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,3,10,5.067 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,4,8,4.054 ,,,,0.016
Stryker,Target_Helical_ultra,0.01,0.254,4,15,7.601 ,,,,0.016
Stryker,Target_Helical_nano,0.01,0.254,1,2,1.013 ,,,,0.016
Stryker,Target_Helical_nano,0.01,0.254,1,3,1.520 ,,,,0.016
Stryker,Target_Helical_nano,0.01,0.254,1.5,2,1.013 ,,,,0.016
Stryker,Target_Helical_nano,0.01,0.254,1.5,3,1.520 ,,,,0.016
Stryker,Target_Helical_nano,0.01,0.254,2,2,1.013 ,,,,0.016
Stryker,Target_Helical_nano,0.01,0.254,2,3,1.520 ,,,,0.016
Stryker,Target_Helical_nano,0.01,0.254,2,4,2.027 ,,,,0.016
Stryker,Target_Helical_nano,0.01,0.254,2,6,3.040 ,,,,0.016
Stryker,Target_3D,0.01,0.254,3,6,3.040 ,,,,0.016
Stryker,Target_3D,0.01,0.254,4,8,4.054 ,,,,0.016
Stryker,Target_3D,0.01,0.254,5,10,5.067 ,,,,0.016
Stryker,Target_3D,0.01,0.254,6,15,7.601 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,1.5,2,1.013 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,1.5,3,1.520 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,2,2.5,1.267 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,2,3.5,1.773 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,2,4.5,2.280 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,2.5,3.5,1.773 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,2.5,4.5,2.280 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,2.5,6,3.040 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,3,4.5,2.280 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,3,6,3.040 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,3,8,4.054 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,3,10,5.067 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,3.5,6,3.040 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,3.5,8,4.054 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,3.5,10,5.067 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,4,6,3.040 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,4,8,4.054 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,4,10,5.067 ,,,,0.016
Stryker,Target_Tetra,0.01,0.254,4.5,10,5.067 ,,,,0.016
Stryker,TargetXXL_360,0.017,0.4318,5,20,29.288 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,6,20,29.288 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,6,30,43.932 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,6,40,58.575 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,8,20,29.288 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,8,40,58.575 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,10,40,58.575 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,12,45,65.897 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,14,50,73.219 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,16,50,73.219 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,18,50,73.219 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,20,50,73.219 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,22,50,73.219 ,,,,0.019
Stryker,TargetXXL_360,0.017,0.4318,24,50,73.219 ,,,,0.019
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,1,3,2.189 ,0.013,0.3302,2.569 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,1.5,4,2.919 ,0.013,0.3302,3.425 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,2,3,2.189 ,0.013,0.3302,2.569 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,2,6,4.378 ,0.013,0.3302,5.138 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,2,8,5.837 ,0.013,0.3302,6.851 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,2.5,4,2.919 ,0.013,0.3302,3.425 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,2.5,8,5.837 ,0.013,0.3302,6.851 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,3,4,2.919 ,0.013,0.3302,3.425 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.012,0.3048,3,10,7.297 ,0.013,0.3302,8.563 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.013,0.3302,4,10,8.563 ,0.013,0.3302,8.563 ,0.0165
TERUMO,AZUR_soft3D(~4mm),0.013,0.3302,4,15,12.845 ,0.013,0.3302,12.845 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,5,10,9.235 ,0.0135,0.3429,9.235 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,5,20,18.469 ,0.0135,0.3429,18.469 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,6,12,11.082 ,0.0135,0.3429,11.082 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,6,19,17.546 ,0.0135,0.3429,17.546 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,7,15,13.852 ,0.0135,0.3429,13.852 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,7,28,25.857 ,0.0135,0.3429,25.857 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,8,17,15.699 ,0.0135,0.3429,15.699 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,8,33,30.475 ,0.0135,0.3429,30.475 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,9,31,28.628 ,0.0135,0.3429,28.628 ,0.0165
TERUMO,AZUR_soft3D(5mm~),0.0135,0.3429,10,36,33.245 ,0.0135,0.3429,33.245 ,0.0165
TERUMO,AZUR_CX18,0.0145,0.3683,2,2,2.131 ,0.0145,0.3683,2.131 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,2,4,4.261 ,0.0145,0.3683,4.261 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,3,4,4.261 ,0.0145,0.3683,4.261 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,3,8,8.523 ,0.0145,0.3683,8.523 ,0.019
TERUMO,AZUR_CX18,0.0148,0.37592,4,13,14.429 ,0.0148,0.37592,14.429 ,0.019
TERUMO,AZUR_CX18,0.0148,0.37592,5,16,17.758 ,0.0148,0.37592,17.758 ,0.019
TERUMO,AZUR_CX18,0.0148,0.37592,7,24,26.637 ,0.0148,0.37592,26.637 ,0.019
TERUMO,AZUR_CX18,0.0148,0.37592,8,28,31.077 ,0.0148,0.37592,31.077 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,9,28,29.830 ,0.0145,0.3683,29.830 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,10,32,34.091 ,0.0145,0.3683,34.091 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,12,38,40.483 ,0.0145,0.3683,40.483 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,14,34,36.222 ,0.0145,0.3683,36.222 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,16,39,41.549 ,0.0145,0.3683,41.549 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,18,36,38.353 ,0.0145,0.3683,38.353 ,0.019
TERUMO,AZUR_CX18,0.0145,0.3683,20,40,42.614 ,0.0145,0.3683,42.614 ,0.019
TERUMO,AZUR_CX35,0.029,0.7366,4,7,29.830 ,0.029,0.7366,29.830 ,0.041
TERUMO,AZUR_CX35,0.029,0.7366,5,11,46.876 ,0.029,0.7366,46.876 ,0.041
TERUMO,AZUR_CX35,0.029,0.7366,6,17,72.444 ,0.029,0.7366,72.444 ,0.041
TERUMO,AZUR_CX35,0.029,0.7366,8,24,102.274 ,0.029,0.7366,102.274 ,0.041
TERUMO,AZUR_CX35,0.029,0.7366,10,19,80.967 ,0.029,0.7366,80.967 ,0.041
TERUMO,AZUR_CX35,0.029,0.7366,13,24,102.274 ,0.029,0.7366,102.274 ,0.041
TERUMO,AZUR_CX35,0.029,0.7366,16,32,136.365 ,0.029,0.7366,136.365 ,0.041
TERUMO,AZUR_CX35,0.029,0.7366,20,39,166.195 ,0.029,0.7366,166.195 ,0.041
TERUMO,AZUR18,0.0145,0.3683,2,2,2.131 ,0.032,0.8128,10.377 ,0.021
TERUMO,AZUR18,0.0145,0.3683,2,4,4.261 ,0.032,0.8128,20.755 ,0.021
TERUMO,AZUR18,0.0145,0.3683,3,5,5.327 ,0.032,0.8128,25.943 ,0.021
TERUMO,AZUR18,0.0145,0.3683,3,10,10.654 ,0.032,0.8128,51.887 ,0.021
TERUMO,AZUR18,0.0145,0.3683,4,5,5.327 ,0.032,0.8128,25.943 ,0.021
TERUMO,AZUR18,0.0145,0.3683,4,10,10.654 ,0.032,0.8128,51.887 ,0.021
TERUMO,AZUR18,0.0145,0.3683,4,20,21.307 ,0.032,0.8128,103.774 ,0.021
TERUMO,AZUR18,0.0145,0.3683,5,10,10.654 ,0.032,0.8128,51.887 ,0.021
TERUMO,AZUR18,0.0145,0.3683,5,20,21.307 ,0.032,0.8128,103.774 ,0.021
TERUMO,AZUR18,0.0145,0.3683,6,10,10.654 ,0.032,0.8128,51.887 ,0.021
TERUMO,AZUR18,0.0145,0.3683,6,20,21.307 ,0.032,0.8128,103.774 ,0.021
TERUMO,AZUR18,0.0145,0.3683,8,20,21.307 ,0.032,0.8128,103.774 ,0.021
TERUMO,AZUR18,0.0145,0.3683,10,20,21.307 ,0.032,0.8128,103.774 ,0.021
TERUMO,AZUR18,0.0145,0.3683,12,20,21.307 ,0.032,0.8128,103.774 ,0.021
TERUMO,AZUR18,0.0145,0.3683,15,30,31.961 ,0.032,0.8128,155.661 ,0.021
TERUMO,AZUR18,0.0145,0.3683,20,30,31.961 ,0.032,0.8128,155.661 ,0.021
TERUMO,AZUR35,0.031,0.7874,3,5,24.347 ,0.048,1.2192,58.373 ,0.038
TERUMO,AZUR35,0.031,0.7874,4,10,48.695 ,0.048,1.2192,116.745 ,0.038
TERUMO,AZUR35,0.031,0.7874,4,15,73.042 ,0.048,1.2192,175.118 ,0.038
TERUMO,AZUR35,0.031,0.7874,5,15,73.042 ,0.048,1.2192,175.118 ,0.038
TERUMO,AZUR35,0.031,0.7874,6,20,97.389 ,0.048,1.2192,233.491 ,0.038
TERUMO,AZUR35,0.031,0.7874,8,20,97.389 ,0.048,1.2192,233.491 ,0.038
TERUMO,AZUR35,0.031,0.7874,10,20,97.389 ,0.048,1.2192,233.491 ,0.038
TERUMO,AZUR35,0.031,0.7874,12,20,97.389 ,0.048,1.2192,233.491 ,0.038
TERUMO,AZUR35,0.031,0.7874,12,30,146.084 ,0.048,1.2192,350.236 ,0.038
TERUMO,AZUR35,0.031,0.7874,15,20,97.389 ,0.048,1.2192,233.491 ,0.038
TERUMO,AZUR35,0.031,0.7874,15,30,146.084 ,0.048,1.2192,350.236 ,0.038
TERUMO,AZUR35,0.031,0.7874,20,20,97.389 ,0.048,1.2192,233.491 ,0.038
TERUMO,AZUR35,0.031,0.7874,20,30,146.084 ,0.048,1.2192,350.236 ,0.038
CERENOVUS,MICRUSFRAME S,0.015,0.381,3,5.4,6.156 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,3.5,6.6,7.525 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,4,11.5,13.111 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,5,17,19.382 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,6,26,29.642 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,8,30,34.203 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,9,33,37.623 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,10,34,38.763 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,11,37,42.183 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,12,40,45.604 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,13,43,49.024 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,14,47,53.584 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,15,50,57.005 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,16,47,53.584 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,17,50,57.005 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,18,46,52.444 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,19,50,57.005 ,,,,0.0165
CERENOVUS,MICRUSFRAME S,0.015,0.381,20,50,57.005 ,,,,0.0165
CERENOVUS,MICRUSFRAME C,0.0135,0.3429,3,6,5.541 ,,,,0.0165
CERENOVUS,MICRUSFRAME C,0.0135,0.3429,4,8,7.388 ,,,,0.0165
CERENOVUS,MICRUSFRAME C,0.0135,0.3429,5,12,11.082 ,,,,0.0165
CERENOVUS,MICRUSFRAME C,0.0135,0.3429,6,15,13.852 ,,,,0.0165
CERENOVUS,MICRUSFRAME C,0.0135,0.3429,7,17,15.699 ,,,,0.0165
CERENOVUS,MICRUSFRAME C,0.0135,0.3429,8,20,18.469 ,,,,0.0165
CERENOVUS,MICRUSFRAME C,0.0135,0.3429,9,22,20.316 ,,,,0.0165
CERENOVUS,MICRUSFRAME C,0.0135,0.3429,10,25,23.087 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,3,8,5.837 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,3.5,7.5,5.472 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,3.5,9,6.567 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,4,10,7.297 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,4,12,8.756 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,5,10,7.297 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,5,15,10.945 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,6,15,10.945 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,6,20,14.593 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,7,21,15.323 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,8,24,17.512 ,,,,0.0165
CERENOVUS,GALAXY G3,0.012,0.3048,9,25,18.241 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,2,2,1.459 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,2,8,5.837 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,2.5,2.5,1.824 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,2.5,3.5,2.554 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,2.5,5,3.648 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,3,4,2.919 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,3,6,4.378 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,3.5,5,3.648 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,3.5,7.5,5.472 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,4,6,4.378 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,4,8,5.837 ,,,,0.0165
CERENOVUS,GALAXY G3_XSFT,0.012,0.3048,4,10,7.297 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1,1,0.410 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1,1.5,0.616 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1,2,0.821 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1,3,1.231 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1,4,1.642 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1.5,2,0.821 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1.5,2.5,1.026 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1.5,3,1.231 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,1.5,4,1.642 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,2,3,1.231 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,2,4,1.642 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,2,6,2.463 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,2.5,3.5,1.437 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,2.5,4.5,1.847 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,3,4,1.642 ,,,,0.0165
CERENOVUS,GALAXY G3_MINI,0.009,0.2286,3,6,2.463 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,3,12,13.681 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,4,15,17.101 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,5,20,22.802 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,6,25,28.502 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,7,33,37.623 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,8,35,39.903 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,9,35,39.903 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,10,40,45.604 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,12,42,47.884 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,14,45,51.304 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,16,50,57.005 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,18,55,62.705 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,20,60,68.406 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,22,60,68.406 ,,,,0.0165
CERENOVUS,DELTAFILL,0.015,0.381,24,60,68.406 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,1.5,2,0.934 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,1.5,3,1.401 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,2,2,0.934 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,2,3,1.401 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,2,4,1.868 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,2,6,2.802 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,2.5,4,1.868 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,3,4,1.868 ,,,,0.0165
CERENOVUS,DELTA_XSFT,0.0096,0.24384,3,6,2.802 ,,,,0.0165
Cook,Tornado18,0.014,0.3556,3,2,1.986 ,,,,0.018
Cook,Tornado18,0.014,0.3556,4,4,3.973 ,,,,0.018
Cook,Tornado18,0.014,0.3556,5,5,4.966 ,,,,0.018
Cook,Tornado18,0.014,0.3556,6,7,6.952 ,,,,0.018
Cook,Tornado18,0.014,0.3556,8,9.5,9.435 ,,,,0.018
Cook,Tornado18,0.014,0.3556,10,14.2,14.103 ,,,,0.018
Cook,Tornado35,0.021,0.5334,4,2.6,5.810 ,,,,0.035
Cook,Tornado35,0.021,0.5334,5,4.1,9.162 ,,,,0.035
Cook,Tornado35,0.021,0.5334,6,5.8,12.961 ,,,,0.035
Cook,Tornado35,0.021,0.5334,8,8,17.877 ,,,,0.035
Cook,Tornado35,0.021,0.5334,10,12.5,27.932 ,,,,0.035
Cook,Nester18,0.014,0.3556,4,14,13.904 ,,,,0.018
Cook,Nester18,0.014,0.3556,6,14,13.904 ,,,,0.018
Cook,Nester18,0.014,0.3556,8,14,13.904 ,,,,0.018
Cook,Nester35,0.021,0.5334,8,20,44.692 ,,,,0.035
Cook,Nester35,0.021,0.5334,10,20,44.692 ,,,,0.035
Cook,Nester35,0.021,0.5334,12,20,44.692 ,,,,0.035
Cook,Nester35,0.021,0.5334,14,20,44.692 ,,,,0.035
Cook,Nester35,0.021,0.5334,16,20,44.692 ,,,,0.035
Cook,Nester35,0.021,0.5334,18,20,44.692 ,,,,0.035
Cook,Nester35,0.021,0.5334,20,20,44.692 ,,,,0.035
Cook,Hilal,0.014,0.3556,0,0.5,0.497 ,,,,0.018
Cook,Hilal,0.014,0.3556,0,1,0.993 ,,,,0.018
Cook,Hilal,0.014,0.3556,2,2,1.986 ,,,,0.018
Cook,Hilal,0.014,0.3556,3,1,0.993 ,,,,0.018
Piolax,C-stopper16,0.016,0.4064,3,18,23.349 ,,,,0.02
Piolax,C-stopper16,0.016,0.4064,2.3,3,3.892 ,,,,0.02
Piolax,C-stopper16,0.016,0.4064,2.3,6,7.783 ,,,,0.02
Piolax,C-stopper16,0.016,0.4064,3,10,12.972 ,,,,0.02
Piolax,C-stopper16,0.016,0.4064,3,14,18.160 ,,,,0.02
Piolax,C-stopper16,0.016,0.4064,3,18,23.349 ,,,,0.02
Piolax,C-stopper14,0.014,0.3556,2,1.5,1.490 ,,,,0.02
Piolax,C-stopper14,0.014,0.3556,2,3,2.979 ,,,,0.02
Piolax,C-stopper14,0.014,0.3556,2,6,5.959 ,,,,0.02
Piolax,C-stopper14,0.014,0.3556,2.8,10,9.931 ,,,,0.02